이름,카테고리,언급횟수,영향_Anchor,영향_Factor수
물류비,supply_chain,23,"매출, 원가, 원가",22
패널가격,supply_chain,23,"원가, 매출, 원가",18
경쟁심화,competition,21,"원가, 원가, 매출",27
재고정상화,supply_chain,15,"판매수량, 원가, 판매수량, 원가, 매출",15
원재료비,supply_chain,14,"원가, 원가",10
관세,trade,13,"원가, 판매수량, 매출, 원가",18
OLED판매확대,technology,11,"판매수량, 매출, 매출",13
수요부진,demand,11,"원가, 매출, 판매수량",13
WebOS매출확대,technology,9,"판매수량, 매출",15
해상운임,supply_chain,9,"원가, 원가",8
TV수요부진,demand,8,"판매수량, 매출",8
지역별수요,demand,8,"매출, 매출, 판매수량",1
마케팅비용,cost,7,"원가, 원가",8
프리미엄제품확대,technology,6,매출,10
환율,macro_economy,6,"매출, 매출, 원가",5
소비심리위축,demand,5,"원가, 판매수량, 매출",3
스포츠이벤트,demand,5,"매출, 판매수량",3
글로벌수요,demand,4,"판매수량, 매출",1
가전수요,demand,3,매출,1
비용개선,cost,3,원가,7
운송비,supply_chain,3,원가,1
출하량,quantity,3,판매수량,1
B2B매출확대,demand,2,매출,11
수요,macro_economy,2,"매출, 판매수량",0
AI 기술,macro_economy,1,매출,1
IT 세트 수요 둔화,macro_economy,1,매출,1
IT 수요,macro_economy,1,판매수량,0
IT세트 수요,macro_economy,1,매출,0
경기부진,macro_economy,1,매출,1
계절적 수요,macro_economy,1,매출,0
광고/컨텐츠 사업 확대,macro_economy,1,매출,1
글로벌 교역량 회복,macro_economy,1,원가,0
기저효과,macro_economy,1,매출,2
모기지 금리,macro_economy,1,매출,0
믹스 악화,macro_economy,1,원가,1
성수기효과,demand,1,매출,2
세트 수요의 회복,macro_economy,1,매출,0
양호한 수요,macro_economy,1,판매수량,0
연말 성수기 효과,macro_economy,1,매출,0
원재료 가격 안정화,macro_economy,1,원가,1
중국 TV 업체들의 점유율 확대,macro_economy,1,매출,0
침체된 주택 매매,macro_economy,1,매출,1
판촉비,cost,1,원가,1
1Q 영업이익 상회,extracted,0,,0
1Q26 성수기 실적,extracted,0,,0
2분기 말 또는 하반기 부담,extracted,0,,0
AI 서버 수요 확대,extracted,0,,1
B2B 사업 부정적 영향,extracted,0,,0
BEP 유지,extracted,0,,0
BS 사업부 적자 전환,extracted,0,,0
D2C 확대,extracted,0,,1
EPS 하향 조정,extracted,0,,0
H&A 본부 영업이익,extracted,0,,0
H/W 부진 상쇄,extracted,0,,0
HE 본부 영업이익,extracted,0,,0
HE 본부 지속가능한 이익률의 추가 개선,extracted,0,,0
HE 사업부 미미한 영향,extracted,0,,0
HE 사업부 실적 부진,extracted,0,,0
HE 사업부 호실적,extracted,0,,0
HE 사업부 흑자전환,extracted,0,,0
